Date,State,Event,Art_Form,Visitors,Tourism_Level,Revenue_INR,Local_Employment,Month,Year,Quarter,Region
2022-01-01,Rajasthan,Desert Festival,Folk Dance,2500,Medium,3750000,250,1,2022,Q1,West
2022-01-02,Kerala,Classical Dance Festival,Classical Dance,1800,Medium,2700000,180,1,2022,Q1,South
2022-01-03,Karnataka,Handicraft Fair,Handicrafts,1200,Low,1800000,120,1,2022,Q1,South
2022-01-05,Tamil Nadu,Temple Festival,Traditional Music,3200,High,4800000,320,1,2022,Q1,South
2022-01-07,West Bengal,Folk Music Festival,Traditional Music,2800,Medium,4200000,280,1,2022,Q1,East
2022-01-10,Gujarat,Kite Festival,Handicrafts,4500,High,6750000,450,1,2022,Q1,West
2022-01-15,Maharashtra,Classical Dance Festival,Classical Dance,2200,Medium,3300000,220,1,2022,Q1,West
2022-01-20,Uttar Pradesh,Handicraft Fair,Textiles,1600,Medium,2400000,160,1,2022,Q1,North
2022-01-25,Punjab,Folk Dance Festival,Folk Dance,1900,Medium,2850000,190,1,2022,Q1,North
2022-02-01,Himachal Pradesh,Snow Festival,Folk Dance,2100,Medium,3150000,210,2,2022,Q1,North
2022-02-05,Goa,Carnival,Folk Dance,5200,High,7800000,520,2,2022,Q1,West
2022-02-10,Odisha,Classical Dance Festival,Classical Dance,1700,Medium,2550000,170,2,2022,Q1,East
2022-02-14,Rajasthan,Camel Festival,Folk Dance,3800,High,5700000,380,2,2022,Q1,West
2022-02-18,Kerala,Boat Race,Traditional Sports,2600,Medium,3900000,260,2,2022,Q1,South
2022-02-22,Karnataka,Music Festival,Traditional Music,2300,Medium,3450000,230,2,2022,Q1,South
2022-03-01,Tamil Nadu,Dance Festival,Classical Dance,2000,Medium,3000000,200,3,2022,Q1,South
2022-03-08,West Bengal,Holi,Folk Festival,4200,High,6300000,420,3,2022,Q1,East
2022-03-15,Gujarat,Folk Fair,Folk Dance,2800,Medium,4200000,280,3,2022,Q1,West
2022-03-20,Maharashtra,Art Exhibition,Paintings,1500,Medium,2250000,150,3,2022,Q1,West
2022-03-25,Uttar Pradesh,Craft Fair,Handicrafts,1800,Medium,2700000,180,3,2022,Q1,North
2022-04-02,Punjab,Baisakhi,Folk Dance,3500,High,5250000,350,4,2022,Q2,North
2022-04-10,Himachal Pradesh,Spring Festival,Folk Music,1400,Low,2100000,140,4,2022,Q2,North
2022-04-15,Goa,Music Festival,Traditional Music,1800,Medium,2700000,180,4,2022,Q2,West
2022-04-20,Odisha,Temple Festival,Classical Dance,2200,Medium,3300000,220,4,2022,Q2,East
2022-04-25,Rajasthan,Heritage Walk,Handicrafts,1600,Medium,2400000,160,4,2022,Q2,West
2022-05-01,Kerala,Boat Festival,Traditional Sports,2800,Medium,4200000,280,5,2022,Q2,South
2022-05-08,Karnataka,Classical Music,Traditional Music,1900,Medium,2850000,190,5,2022,Q2,South
2022-05-15,Tamil Nadu,Folk Fair,Folk Dance,2100,Medium,3150000,210,5,2022,Q2,South
2022-05-22,West Bengal,Craft Exhibition,Handicrafts,1300,Low,1950000,130,5,2022,Q2,East
2022-05-28,Gujarat,Heritage Festival,Traditional Arts,2400,Medium,3600000,240,5,2022,Q2,West
2022-06-03,Maharashtra,Folk Festival,Folk Dance,1700,Medium,2550000,170,6,2022,Q2,West
2022-06-10,Uttar Pradesh,Handicraft Fair,Textiles,1500,Medium,2250000,150,6,2022,Q2,North
2022-06-18,Punjab,Music Festival,Traditional Music,1800,Medium,2700000,180,6,2022,Q2,North
2022-06-25,Himachal Pradesh,Art Fair,Paintings,1200,Low,1800000,120,6,2022,Q2,North
2022-07-02,Goa,Beach Festival,Folk Dance,2800,Medium,4200000,280,7,2022,Q3,West
2022-07-10,Odisha,Classical Dance,Classical Dance,2000,Medium,3000000,200,7,2022,Q3,East
2022-07-15,Rajasthan,Desert Arts,Handicrafts,2200,Medium,3300000,220,7,2022,Q3,West
2022-07-22,Kerala,Monsoon Festival,Traditional Music,1900,Medium,2850000,190,7,2022,Q3,South
2022-07-30,Karnataka,Heritage Fair,Traditional Arts,1600,Medium,2400000,160,7,2022,Q3,South
2022-08-05,Tamil Nadu,Temple Arts,Classical Dance,2300,Medium,3450000,230,8,2022,Q3,South
2022-08-12,West Bengal,Folk Festival,Folk Dance,2100,Medium,3150000,210,8,2022,Q3,East
2022-08-20,Gujarat,Craft Fair,Handicrafts,1800,Medium,2700000,180,8,2022,Q3,West
2022-08-28,Maharashtra,Music Festival,Traditional Music,2000,Medium,3000000,200,8,2022,Q3,West
2022-09-03,Uttar Pradesh,Heritage Walk,Traditional Arts,1400,Low,2100000,140,9,2022,Q3,North
2022-09-10,Punjab,Folk Fair,Folk Dance,1700,Medium,2550000,170,9,2022,Q3,North
2022-09-18,Himachal Pradesh,Mountain Festival,Folk Music,1500,Medium,2250000,150,9,2022,Q3,North
2022-09-25,Goa,Art Exhibition,Paintings,1300,Low,1950000,130,9,2022,Q3,West
2022-10-02,Odisha,Durga Puja,Classical Dance,4500,High,6750000,450,10,2022,Q4,East
2022-10-08,Rajasthan,Diwali Fair,Handicrafts,5200,High,7800000,520,10,2022,Q4,West
2022-10-15,Kerala,Onam Festival,Classical Dance,3800,High,5700000,380,10,2022,Q4,South
2022-10-22,Karnataka,Dussehra,Folk Dance,4200,High,6300000,420,10,2022,Q4,South
2022-10-30,Tamil Nadu,Festival of Lights,Traditional Arts,3500,High,5250000,350,10,2022,Q4,South
2022-11-05,West Bengal,Durga Puja,Classical Dance,5800,High,8700000,580,11,2022,Q4,East
2022-11-12,Gujarat,Diwali Festival,Folk Dance,4800,High,7200000,480,11,2022,Q4,West
2022-11-20,Maharashtra,Heritage Festival,Traditional Music,3200,High,4800000,320,11,2022,Q4,West
2022-11-28,Uttar Pradesh,Diwali Fair,Handicrafts,2800,Medium,4200000,280,11,2022,Q4,North
2022-12-03,Punjab,Winter Festival,Folk Dance,2200,Medium,3300000,220,12,2022,Q4,North
2022-12-10,Himachal Pradesh,Snow Festival,Folk Music,1800,Medium,2700000,180,12,2022,Q4,North
2022-12-18,Goa,Christmas Fair,Traditional Arts,3800,High,5700000,380,12,2022,Q4,West
2022-12-25,Odisha,Year End Festival,Classical Dance,2400,Medium,3600000,240,12,2022,Q4,East
2023-01-01,Rajasthan,New Year Festival,Folk Dance,3200,High,4800000,320,1,2023,Q1,West
2023-01-08,Kerala,Classical Arts,Classical Dance,2600,Medium,3900000,260,1,2023,Q1,South
2023-01-15,Karnataka,Handicraft Fair,Handicrafts,2000,Medium,3000000,200,1,2023,Q1,South
2023-01-22,Tamil Nadu,Pongal Festival,Traditional Music,4200,High,6300000,420,1,2023,Q1,South
2023-01-30,West Bengal,Folk Music,Traditional Music,2800,Medium,4200000,280,1,2023,Q1,East
2023-02-05,Gujarat,Heritage Fair,Traditional Arts,3500,High,5250000,350,2,2023,Q1,West
2023-02-12,Maharashtra,Classical Dance,Classical Dance,2400,Medium,3600000,240,2,2023,Q1,West
2023-02-20,Uttar Pradesh,Craft Exhibition,Handicrafts,1800,Medium,2700000,180,2,2023,Q1,North
2023-02-28,Punjab,Folk Festival,Folk Dance,2200,Medium,3300000,220,2,2023,Q1,North
2023-03-05,Himachal Pradesh,Spring Arts,Folk Music,1600,Medium,2400000,160,3,2023,Q1,North
2023-03-12,Goa,Carnival,Folk Dance,5500,High,8250000,550,3,2023,Q1,West
2023-03-20,Odisha,Classical Festival,Classical Dance,2000,Medium,3000000,200,3,2023,Q1,East
2023-03-28,Rajasthan,Holi Festival,Folk Dance,4800,High,7200000,480,3,2023,Q1,West
2023-04-03,Kerala,Boat Race,Traditional Sports,3000,High,4500000,300,4,2023,Q2,South
2023-04-10,Karnataka,Music Festival,Traditional Music,2300,Medium,3450000,230,4,2023,Q2,South
2023-04-18,Tamil Nadu,Temple Festival,Classical Dance,2700,Medium,4050000,270,4,2023,Q2,South
2023-04-25,West Bengal,Folk Fair,Folk Dance,2100,Medium,3150000,210,4,2023,Q2,East
2023-05-02,Gujarat,Heritage Walk,Traditional Arts,1900,Medium,2850000,190,5,2023,Q2,West
2023-05-10,Maharashtra,Art Exhibition,Paintings,1500,Medium,2250000,150,5,2023,Q2,West
2023-05-18,Uttar Pradesh,Handicraft Fair,Textiles,1700,Medium,2550000,170,5,2023,Q2,North
2023-05-25,Punjab,Folk Music,Traditional Music,1800,Medium,2700000,180,5,2023,Q2,North
2023-06-01,Himachal Pradesh,Mountain Festival,Folk Dance,1400,Low,2100000,140,6,2023,Q2,North
2023-06-08,Goa,Beach Arts,Traditional Arts,2200,Medium,3300000,220,6,2023,Q2,West
2023-06-15,Odisha,Classical Arts,Classical Dance,1900,Medium,2850000,190,6,2023,Q2,East
2023-06-22,Rajasthan,Desert Festival,Folk Dance,2500,Medium,3750000,250,6,2023,Q2,West
2023-06-30,Kerala,Monsoon Arts,Traditional Music,2000,Medium,3000000,200,6,2023,Q2,South
2023-07-05,Karnataka,Heritage Fair,Handicrafts,1800,Medium,2700000,180,7,2023,Q3,South
2023-07-12,Tamil Nadu,Folk Festival,Folk Dance,2100,Medium,3150000,210,7,2023,Q3,South
2023-07-20,West Bengal,Traditional Arts,Traditional Music,1600,Medium,2400000,160,7,2023,Q3,East
2023-07-28,Gujarat,Craft Fair,Handicrafts,1900,Medium,2850000,190,7,2023,Q3,West
2023-08-03,Maharashtra,Classical Music,Traditional Music,2000,Medium,3000000,200,8,2023,Q3,West
2023-08-10,Uttar Pradesh,Folk Fair,Folk Dance,1700,Medium,2550000,170,8,2023,Q3,North
2023-08-18,Punjab,Heritage Festival,Traditional Arts,1500,Medium,2250000,150,8,2023,Q3,North
2023-08-25,Himachal Pradesh,Mountain Arts,Folk Music,1300,Low,1950000,130,8,2023,Q3,North
2023-09-01,Goa,Art Festival,Paintings,1800,Medium,2700000,180,9,2023,Q3,West
2023-09-08,Odisha,Classical Dance,Classical Dance,2200,Medium,3300000,220,9,2023,Q3,East
2023-09-15,Rajasthan,Desert Arts,Handicrafts,2400,Medium,3600000,240,9,2023,Q3,West
2023-09-22,Kerala,Boat Festival,Traditional Sports,2600,Medium,3900000,260,9,2023,Q3,South
2023-09-30,Karnataka,Music Festival,Traditional Music,2000,Medium,3000000,200,9,2023,Q3,South
2023-10-05,Tamil Nadu,Dussehra,Classical Dance,4500,High,6750000,450,10,2023,Q4,South
2023-10-12,West Bengal,Durga Puja,Classical Dance,6200,High,9300000,620,10,2023,Q4,East
2023-10-20,Gujarat,Diwali Fair,Folk Dance,5800,High,8700000,580,10,2023,Q4,West
2023-10-28,Maharashtra,Festival of Lights,Traditional Arts,4200,High,6300000,420,10,2023,Q4,West
2023-11-03,Uttar Pradesh,Diwali Festival,Handicrafts,3800,High,5700000,380,11,2023,Q4,North
2023-11-10,Punjab,Folk Festival,Folk Dance,2800,Medium,4200000,280,11,2023,Q4,North
2023-11-18,Himachal Pradesh,Winter Arts,Folk Music,2200,Medium,3300000,220,11,2023,Q4,North
2023-11-25,Goa,Heritage Festival,Traditional Music,3200,High,4800000,320,11,2023,Q4,West
2023-12-02,Odisha,Classical Festival,Classical Dance,2600,Medium,3900000,260,12,2023,Q4,East
2023-12-10,Rajasthan,Winter Festival,Folk Dance,3000,High,4500000,300,12,2023,Q4,West
2023-12-18,Kerala,Year End Arts,Traditional Arts,2400,Medium,3600000,240,12,2023,Q4,South
2023-12-25,Karnataka,Christmas Fair,Folk Music,2800,Medium,4200000,280,12,2023,Q4,South
2024-01-01,Tamil Nadu,New Year Festival,Classical Dance,3500,High,5250000,350,1,2024,Q1,South
2024-01-08,West Bengal,Winter Festival,Folk Dance,2900,Medium,4350000,290,1,2024,Q1,East
2024-01-15,Gujarat,Heritage Fair,Traditional Arts,3200,High,4800000,320,1,2024,Q1,West
2024-01-22,Maharashtra,Classical Arts,Classical Dance,2600,Medium,3900000,260,1,2024,Q1,West
2024-01-30,Uttar Pradesh,Handicraft Fair,Handicrafts,2000,Medium,3000000,200,1,2024,Q1,North
2024-02-05,Punjab,Folk Music,Traditional Music,2300,Medium,3450000,230,2,2024,Q1,North
2024-02-12,Himachal Pradesh,Snow Festival,Folk Dance,1800,Medium,2700000,180,2,2024,Q1,North
2024-02-20,Goa,Carnival,Folk Dance,5800,High,8700000,580,2,2024,Q1,West
2024-02-28,Odisha,Classical Festival,Classical Dance,2200,Medium,3300000,220,2,2024,Q1,East
2024-03-05,Rajasthan,Desert Festival,Folk Dance,2800,Medium,4200000,280,3,2024,Q1,West
2024-03-12,Kerala,Boat Race,Traditional Sports,3200,High,4800000,320,3,2024,Q1,South
2024-03-20,Karnataka,Music Festival,Traditional Music,2500,Medium,3750000,250,3,2024,Q1,South
2024-03-28,Tamil Nadu,Holi Festival,Folk Dance,4800,High,7200000,480,3,2024,Q1,South
2024-04-03,West Bengal,Spring Festival,Traditional Arts,2400,Medium,3600000,240,4,2024,Q2,East
2024-04-10,Gujarat,Heritage Walk,Traditional Music,2000,Medium,3000000,200,4,2024,Q2,West
2024-04-18,Maharashtra,Art Exhibition,Paintings,1600,Medium,2400000,160,4,2024,Q2,West
2024-04-25,Uttar Pradesh,Folk Fair,Folk Dance,1900,Medium,2850000,190,4,2024,Q2,North
2024-05-02,Punjab,Baisakhi,Folk Dance,3800,High,5700000,380,5,2024,Q2,North
2024-05-10,Himachal Pradesh,Mountain Festival,Folk Music,1500,Medium,2250000,150,5,2024,Q2,North
2024-05-18,Goa,Beach Festival,Traditional Arts,2200,Medium,3300000,220,5,2024,Q2,West
2024-05-25,Odisha,Classical Arts,Classical Dance,2000,Medium,3000000,200,5,2024,Q2,East
2024-06-01,Rajasthan,Heritage Fair,Handicrafts,2300,Medium,3450000,230,6,2024,Q2,West
2024-06-08,Kerala,Monsoon Festival,Traditional Music,2100,Medium,3150000,210,6,2024,Q2,South
2024-06-15,Karnataka,Folk Festival,Folk Dance,1800,Medium,2700000,180,6,2024,Q2,South
2024-06-22,Tamil Nadu,Temple Arts,Classical Dance,2400,Medium,3600000,240,6,2024,Q2,South
2024-06-30,West Bengal,Summer Arts,Traditional Music,1700,Medium,2550000,170,6,2024,Q2,East